Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Rectangle,Geometric Shapes,1,,,,,,,
3,Rectangle,Geometric Shapes,1,,,,,,,
4,Circle,Geometric Shapes,1,,,,,,,
5,Circle,Geometric Shapes,1,,,,,,,
6,Rectangle,Geometric Shapes,1,,,,,,,
7,Rectangle,Geometric Shapes,1,,46,,,,,Matrix display (32x8)
8,Text,Standard,1,,,,,,,Snooze / main btn
9,Text,Standard,1,,,,,,,2nd btn
10,Text,Standard,1,,,,,,,right dial
11,Text,Standard,1,,,,,,,left dial
12,Rectangle,Geometric Shapes,1,,,,,,,
13,Rectangle,Geometric Shapes,1,,,,,,,
14,Circle,Geometric Shapes,1,,,,,,,
15,Circle,Geometric Shapes,1,,,,,,,
16,Rectangle,Geometric Shapes,1,,,,,,,
17,Rectangle,Geometric Shapes,1,,47,,,,,Matrix display (32x16)
18,Rectangle,Geometric Shapes,1,,,,,,,
19,Rectangle,Geometric Shapes,1,,,,,,,
20,Circle,Geometric Shapes,1,,,,,,,
21,Circle,Geometric Shapes,1,,,,,,,
22,Rectangle,Geometric Shapes,1,,,,,,,
23,Rectangle,Geometric Shapes,1,,48,,,,,Matrix display (16x8)
24,ImageSearchBlock2,Standard,1,,49,,,,,
25,ImageSearchBlock2,Standard,1,,49,,,,,
26,ImageSearchBlock2,Standard,1,,49,,,,,
27,ImageSearchBlock2,Standard,1,,49,,,,,
28,Rectangle,Geometric Shapes,1,,,,,,,
29,Rectangle,Geometric Shapes,1,,,,,,,
30,Circle,Geometric Shapes,1,,,,,,,
31,Circle,Geometric Shapes,1,,,,,,,
32,Rectangle,Geometric Shapes,1,,,,,,,
33,ImageSearchBlock2,Standard,1,,50,,,,,
34,ImageSearchBlock2,Standard,1,,50,,,,,
35,ImageSearchBlock2,Standard,1,,50,,,,,
36,ImageSearchBlock2,Standard,1,,50,,,,,
37,ImageSearchBlock2,Standard,1,,50,,,,,
38,ImageSearchBlock2,Standard,1,,50,,,,,
39,ImageSearchBlock2,Standard,1,,50,,,,,
40,Line,,1,,46,7,7,None,None,
41,Line,,1,,46,7,7,None,None,
42,Line,,1,,47,17,17,None,None,
43,Line,,1,,47,17,17,None,None,
44,Line,,1,,48,23,23,None,None,
45,Line,,1,,48,23,23,None,None,
46,Group 1,,1,,,,,,,
47,Group 2,,1,,,,,,,
48,Group 3,,1,,,,,,,
49,Group 4,,1,,,,,,,
50,Group 5,,1,,,,,,,
