Sleep logging started on 10/19/20 at 10:20:08;;;
TIMESTAMP,;SENSOR1,;SENSOR2,;HUMAN READABLE TIME
1603095608;0;0;10:20:08
1603095609;0;0;10:20:09
1603095610;0;0;10:20:10
1603095611;0;0;10:20:11
1603095612;0;0;10:20:12
1603095613;0;0;10:20:13
1603095614;0;0;10:20:14
1603095615;0;0;10:20:15
1603095616;0;0;10:20:16
1603095617;0;0;10:20:17
1603095618;0;1;10:20:18
1603095619;0;1;10:20:19
1603095620;0;0;10:20:20
1603095621;0;0;10:20:21
1603095622;0;0;10:20:22
1603095623;0;0;10:20:23
1603095624;0;0;10:20:24
1603095625;0;0;10:20:25
1603095626;0;1;10:20:26
1603095627;0;1;10:20:27
1603095628;0;0;10:20:28
1603095629;0;0;10:20:29
1603095630;0;0;10:20:30
1603095631;1;0;10:20:31
1603095632;1;0;10:20:32
1603095633;1;0;10:20:33
1603095634;0;0;10:20:34
1603095635;0;0;10:20:35
1603095636;0;0;10:20:36
1603095637;0;0;10:20:37
1603095638;0;0;10:20:38
1603095639;0;0;10:20:39
1603095640;0;1;10:20:40
1603095641;0;0;10:20:41
1603095642;0;1;10:20:42
1603095643;0;0;10:20:43
1603095644;0;0;10:20:44
1603095645;0;0;10:20:45
1603095646;0;1;10:20:46
1603095647;0;1;10:20:47
1603095649;0;0;10:20:49
1603095650;0;0;10:20:50
1603095651;0;0;10:20:51
1603095652;1;0;10:20:52
1603095653;0;1;10:20:53
1603095654;0;1;10:20:54
1603095655;0;0;10:20:55
1603095656;0;0;10:20:56
1603095657;0;0;10:20:57
1603095658;0;0;10:20:58
1603095659;0;0;10:20:59
1603095660;0;0;10:21:00
1603095661;0;0;10:21:01
1603095662;0;0;10:21:02
1603095663;0;0;10:21:03
1603095664;0;0;10:21:04
1603095665;0;0;10:21:05
1603095666;0;0;10:21:06
1603095667;0;0;10:21:07
1603095668;1;0;10:21:08
1603095669;0;0;10:21:09
1603095670;0;0;10:21:10
1603095671;1;0;10:21:11
1603095672;0;0;10:21:12
1603095673;1;0;10:21:13
1603095674;1;0;10:21:14
1603095675;1;0;10:21:15
1603095676;1;0;10:21:16
1603095677;0;0;10:21:17
1603095678;0;0;10:21:18
1603095679;0;0;10:21:19
1603095680;0;0;10:21:20
1603095681;0;0;10:21:21
1603095682;0;0;10:21:22
1603095683;0;0;10:21:23
1603095684;1;0;10:21:24
1603095685;0;0;10:21:25
1603095686;0;0;10:21:26
1603095687;0;0;10:21:27
1603095688;0;0;10:21:28
1603095689;0;0;10:21:29
1603095690;1;0;10:21:30
1603095691;0;0;10:21:31
1603095692;0;0;10:21:32
1603095693;0;0;10:21:33
1603095694;0;0;10:21:34
1603095695;0;0;10:21:35
1603095696;0;0;10:21:36
1603095697;0;0;10:21:37
1603095698;0;0;10:21:38
1603095699;0;0;10:21:39
1603095700;0;0;10:21:40
1603095701;0;0;10:21:41
1603095702;0;0;10:21:42
1603095703;0;0;10:21:43
1603095704;0;0;10:21:44
1603095705;0;0;10:21:45
1603095706;0;0;10:21:46
1603095707;0;0;10:21:47
1603095708;0;0;10:21:48
1603095709;0;0;10:21:49
1603095710;0;0;10:21:50
1603095711;0;0;10:21:51
1603095712;0;0;10:21:52
1603095713;0;0;10:21:53
1603095714;0;0;10:21:54
1603095715;0;0;10:21:55
1603095716;1;1;10:21:56
1603095717;0;1;10:21:57
1603095718;0;1;10:21:58
1603095719;0;1;10:21:59
1603095720;0;1;10:22:00
1603095721;0;1;10:22:01
1603095722;0;0;10:22:02
1603095723;0;1;10:22:03
1603095724;0;1;10:22:04
1603095725;0;0;10:22:05
1603095726;0;0;10:22:06
1603095727;0;0;10:22:07
1603095728;0;0;10:22:08
1603095729;0;0;10:22:09
1603095730;0;0;10:22:10
1603095731;0;0;10:22:11
1603095732;0;0;10:22:12
1603095733;0;0;10:22:13
1603095734;0;1;10:22:14
1603095735;0;0;10:22:15
1603095736;0;1;10:22:16
1603095737;0;1;10:22:17
1603095738;0;1;10:22:18
1603095739;0;1;10:22:19
1603095740;0;1;10:22:20
1603095741;1;1;10:22:21
1603095742;0;1;10:22:22
1603095743;0;1;10:22:23
1603095744;0;1;10:22:24
1603095745;0;0;10:22:25
1603095746;1;1;10:22:26
1603095747;0;0;10:22:27
1603095748;0;0;10:22:28
1603095749;0;0;10:22:29
1603095750;0;0;10:22:30
1603095751;0;0;10:22:31
1603095752;0;1;10:22:32
1603095753;0;0;10:22:33
1603095754;0;1;10:22:34
1603095755;0;1;10:22:35
1603095756;0;0;10:22:36
1603095757;0;0;10:22:37
1603095758;0;1;10:22:38
1603095759;0;0;10:22:39
1603095760;0;0;10:22:40
1603095761;0;0;10:22:41
1603095762;0;0;10:22:42
1603095763;1;0;10:22:43
1603095764;0;0;10:22:44
